0,true,{{-1/1,0/1,1/1},{0/1,-1/1,1/1},{0/1,0/1,1/1}},false
1,true,{{-1/1,0/1,0/1},{0/1,-1/1,0/1},{0/1,0/1,-1/1}},false
2,true,{{-1/1,0/1,0/1},{0/1,-1/1,0/1},{0/1,0/1,-1/1}},false
3,true,{{-1/1,1/1,0/1},{0/1,1/1,0/1},{0/1,0/1,-1/1}},false
4,true,{{-1/1,0/1,0/1},{0/1,-1/1,0/1},{0/1,0/1,-1/1}},false
5,true,{{-1/1,0/1,0/1},{0/1,-1/1,0/1},{0/1,0/1,1/1}},false
6,true,{{-1/1,0/1,0/1},{0/1,-1/1,0/1},{0/1,0/1,1/1}},false
7,true,{{-1/1,0/1,0/1},{0/1,-1/1,0/1},{0/1,0/1,-1/1}},true
8,true,{{-1/1,0/1,0/1},{0/1,1/1,0/1},{0/1,0/1,-1/1}},false
9,false,{},false
10,true,{{-1/1,0/1,0/1},{0/1,-1/1,0/1},{0/1,0/1,1/1}},false
11,true,{{0/1,-1/1,0/1},{1/1,0/1,0/1},{1/1,0/1,-1/1}},false
12,true,{{-1/1,0/1,0/1},{0/1,1/1,0/1},{0/1,0/1,-1/1}},false
13,true,{{-1/1,0/1,0/1},{0/1,1/1,0/1},{0/1,0/1,-1/1}},false
14,true,{{-1/1,0/1,0/1},{0/1,1/1,0/1},{0/1,0/1,-1/1}},true
15,false,{},false
16,false,{},false
17,false,{},false
